customer id,customer_name,age,gender,age_category,churn,total_spend,average_spend,purchase_count
99,Melody Rush,35,Female,Adult,0,6473,719.2222222222222,9
100,Samantha Booth,42,Female,Middle Age,0,1248,416.0,3
101,Michael Howard,65,Female,Senior,1,3971,794.2,5
102,Robert Craig,18,Male,Young Adult,1,2481,496.2,5
103,Jerry Snyder,20,Female,Young Adult,0,5219,869.8333333333334,6
104,Nicole Best,70,Male,Senior,0,3139,784.75,4
105,Maria Hudson,32,Male,Adult,1,1774,354.8,5
106,Vickie Griffin,59,Female,Senior,0,5472,912.0,6
107,Margaret Parks,18,Male,Young Adult,0,5210,1042.0,5
108,Andrea Smith,32,Female,Adult,0,3893,648.8333333333334,6
109,Matthew Bennett,27,Female,Adult,0,4516,903.2,5
110,Cynthia Sanchez,52,Male,Senior,0,5304,884.0,6
111,Joseph Lynch,26,Male,Adult,0,2464,492.8,5
112,Rodney Warner,44,Male,Middle Age,0,5564,927.3333333333334,6
113,James Williams,36,Male,Middle Age,0,4744,677.7142857142857,7
114,Antonio Estes,39,Male,Middle Age,0,2370,592.5,4
115,Lisa Black,25,Male,Young Adult,0,5049,1009.8,5
116,Alicia Davis,37,Female,Middle Age,0,1892,378.4,5
117,Melissa Mitchell,63,Female,Senior,0,2666,666.5,4
118,Brian Nelson,62,Male,Senior,0,8945,1277.857142857143,7
119,Deanna Jackson,55,Male,Senior,0,8522,1217.4285714285713,7
120,Kevin Tate,41,Male,Middle Age,0,3339,667.8,5
121,Stephanie Davidson,34,Male,Adult,0,1310,327.5,4
122,Jordan Cook,41,Male,Middle Age,0,3561,508.7142857142857,7
123,Gene Willis,41,Female,Middle Age,0,4121,412.1,10
124,Dustin Gill,23,Female,Young Adult,1,2846,1423.0,2
125,Tracy Palmer,34,Female,Adult,1,998,499.0,2
126,Ronald Kemp,56,Male,Senior,0,2440,1220.0,2
127,Robert Rivera,68,Male,Senior,0,1048,349.3333333333333,3
128,Michael Morales,35,Male,Adult,0,8863,1107.875,8
129,Amanda Jackson,42,Female,Middle Age,1,4625,770.8333333333334,6
130,Jessica Curtis,51,Female,Senior,0,2029,405.8,5
131,Stephanie Burch,29,Male,Adult,0,4006,500.75,8
132,Michael Avila,20,Female,Young Adult,0,5349,891.5,6
133,Jennifer Thomas,42,Male,Middle Age,1,570,190.0,3
134,Jeffrey Kelley,59,Male,Senior,1,2606,651.5,4
135,Lisa Russell,48,Male,Middle Age,0,5218,745.4285714285714,7
136,Randy Nguyen,20,Male,Young Adult,0,6950,868.75,8
137,Dr. David Patel,45,Female,Middle Age,0,1921,640.3333333333334,3
138,Annette Peterson,35,Female,Adult,1,1109,369.6666666666667,3
139,Donald Davidson,59,Female,Senior,0,2120,706.6666666666666,3
140,Carrie Nguyen,46,Female,Middle Age,0,3715,928.75,4
141,Chad Dean,58,Male,Senior,0,3770,942.5,4
142,Daniel Shaw,31,Female,Adult,0,4152,1384.0,3
143,Rachael Kelly MD,42,Male,Middle Age,0,7329,732.9,10
144,Dorothy Meyers,57,Female,Senior,0,3595,719.0,5
145,Wendy Dawson,26,Female,Adult,0,7945,882.7777777777778,9
146,Ronald Rodgers,52,Female,Senior,0,1167,291.75,4
147,Kevin White,70,Male,Senior,0,3400,1133.3333333333333,3
148,Ashley Mathews,64,Female,Senior,1,5822,970.3333333333334,6
149,Taylor Massey,65,Female,Senior,0,8142,1357.0,6
150,Sarah Larsen,37,Female,Middle Age,0,3074,768.5,4
151,Marcus Price,28,Female,Adult,1,3771,754.2,5
152,Joseph Massey,47,Female,Middle Age,0,5141,1285.25,4
153,Robert Palmer,33,Male,Adult,0,1690,563.3333333333334,3
154,John Lewis,45,Female,Middle Age,0,7507,834.1111111111111,9
155,Brady Taylor,29,Female,Adult,0,1939,387.8,5
156,Michael Lopez,20,Male,Young Adult,0,5984,664.8888888888889,9
157,Zachary Cohen MD,50,Male,Middle Age,0,2525,841.6666666666666,3
158,Troy Webb,58,Female,Senior,1,2426,485.2,5
159,Eric Garrett,24,Female,Young Adult,0,4457,1114.25,4
160,Terri Wilcox,58,Male,Senior,0,2561,640.25,4
161,Ashley Lane,28,Male,Adult,1,7310,1218.3333333333333,6
162,Dr. Russell Spence,29,Male,Adult,1,3300,660.0,5
163,Courtney Silva,69,Female,Senior,0,6012,1202.4,5
164,Trevor Deleon,37,Female,Middle Age,1,4427,553.375,8
165,Scott Hunt,60,Female,Senior,0,1812,604.0,3
166,Jason Gamble,68,Female,Senior,0,1535,511.6666666666667,3
167,Chad Johnson,36,Male,Middle Age,0,8376,1196.5714285714287,7
168,James Russell,49,Female,Middle Age,1,5705,815.0,7
169,Alicia Herrera,49,Male,Middle Age,0,1952,650.6666666666666,3
170,Andrew Ponce,41,Female,Middle Age,0,1278,639.0,2
171,Todd Hahn,21,Female,Young Adult,1,1734,433.5,4
172,Greg Stanley,21,Female,Young Adult,1,6738,962.5714285714286,7
173,Nicole Dunn,41,Male,Middle Age,0,2829,565.8,5
174,Linda Johnson,47,Male,Middle Age,0,5990,855.7142857142857,7
175,Peter Jones,50,Male,Middle Age,0,5352,535.2,10
176,Thomas Lyons,58,Male,Senior,0,2252,563.0,4
177,Hunter Coleman,20,Female,Young Adult,0,2545,848.3333333333334,3
178,Alicia Torres,49,Female,Middle Age,0,4380,876.0,5
179,Raymond Cooper,67,Female,Senior,0,3922,653.6666666666666,6
180,Victoria Brown,69,Female,Senior,0,3227,645.4,5
181,Jeffrey Aguilar,57,Male,Senior,0,1608,536.0,3
182,Jennifer Morrison,61,Female,Senior,1,5290,1058.0,5
183,Steven Bond,52,Male,Senior,0,4639,515.4444444444445,9
184,Kimberly Tanner,55,Female,Senior,0,3641,520.1428571428571,7
185,Emily Carter,70,Female,Senior,1,3075,615.0,5
186,Christopher Jackson,55,Female,Senior,0,6424,917.7142857142857,7
187,Jennifer Lee,51,Male,Senior,0,4794,958.8,5
188,Garrett Richardson,70,Female,Senior,0,4225,845.0,5
189,Susan Baird,45,Female,Middle Age,0,1979,659.6666666666666,3
190,Susan Mcdaniel,65,Female,Senior,0,5103,729.0,7
191,Patricia Bautista,36,Male,Middle Age,0,2674,891.3333333333334,3
192,Aaron Barber,48,Male,Middle Age,1,3637,909.25,4
193,Marco Perez,68,Male,Senior,1,992,496.0,2
194,Tracie Huang,29,Female,Adult,0,3098,619.6,5
195,Mr. Steven Williams,41,Male,Middle Age,0,4321,1080.25,4
196,Patricia Davis,46,Female,Middle Age,0,3170,634.0,5
197,Samuel Hoffman,31,Male,Adult,0,4092,818.4,5
198,Elizabeth Anderson,35,Female,Adult,0,3564,891.0,4
199,Derek Snow,37,Female,Middle Age,0,2040,408.0,5
200,Kimberly Holland,26,Female,Adult,0,2252,750.6666666666666,3
201,Angel Brown,31,Female,Adult,0,1452,484.0,3
202,Nicole Stein,29,Male,Adult,0,3526,705.2,5
203,Cassidy Rowe,57,Female,Senior,0,4825,689.2857142857143,7
204,Anthony Thompson,40,Female,Middle Age,0,2826,706.5,4
205,William Fowler DDS,51,Male,Senior,0,2024,674.6666666666666,3
206,Leslie West,64,Female,Senior,1,7596,844.0,9
207,Anthony Ware,29,Male,Adult,0,166,83.0,2
208,Deborah Medina,42,Female,Middle Age,0,2629,525.8,5
209,Laura Garner,45,Female,Middle Age,0,2380,595.0,4
210,Dawn Wilson,34,Female,Adult,0,2419,806.3333333333334,3
211,Michael Kaufman,27,Female,Adult,0,3843,960.75,4
212,Denise Allen,42,Male,Middle Age,0,2326,775.3333333333334,3
213,Joel Brown,59,Female,Senior,0,1429,714.5,2
214,Debra Cobb,47,Female,Middle Age,0,4454,742.3333333333334,6
215,Thomas Hoffman,52,Female,Senior,0,1235,411.6666666666667,3
216,Melissa Ortega,57,Male,Senior,0,3013,376.625,8
217,Donna Meyer,28,Female,Adult,0,4721,674.4285714285714,7
218,Ryan Miller,23,Male,Young Adult,0,3999,1333.0,3
219,Taylor Newman,25,Female,Young Adult,0,1382,345.5,4
220,Ashley Dominguez,67,Male,Senior,0,3592,898.0,4
221,Chris Wang,18,Male,Young Adult,0,50,50.0,1
222,Joe Lee,47,Female,Middle Age,0,652,652.0,1
223,Kaitlyn Lee,23,Female,Young Adult,0,5216,745.1428571428571,7
224,Herbert Holland,41,Male,Middle Age,0,1407,469.0,3
225,Jennifer Roberts,44,Female,Middle Age,0,5727,636.3333333333334,9
226,Alejandra Snyder,49,Female,Middle Age,0,791,395.5,2
227,Amanda Sullivan,18,Male,Young Adult,0,2578,515.6,5
228,Alyssa Watkins,22,Female,Young Adult,0,1310,1310.0,1
229,Scott Welch,19,Female,Young Adult,1,3467,866.75,4
230,James Ortiz,27,Male,Adult,0,1140,380.0,3
231,Lawrence Shannon,61,Female,Senior,0,1707,426.75,4
232,Annette Ramirez,24,Male,Young Adult,1,1740,870.0,2
233,Lindsay Roberts,36,Female,Middle Age,0,3902,975.5,4
234,Scott James,64,Female,Senior,0,4142,1035.5,4
235,Lindsey Walker,20,Male,Young Adult,0,5731,1146.2,5
236,Christopher Williams,23,Male,Young Adult,0,7350,1050.0,7
237,Ryan Anderson,36,Female,Middle Age,1,5820,970.0,6
238,Laura Garner,40,Female,Middle Age,1,1240,310.0,4
239,Kyle Gallagher DDS,28,Male,Adult,0,5045,560.5555555555555,9
240,Mr. Johnny Ramos,35,Female,Adult,0,6754,964.8571428571429,7
241,Stacy Reed,41,Male,Middle Age,0,1856,618.6666666666666,3
242,John Roberts,20,Male,Young Adult,0,4106,684.3333333333334,6
243,James Sullivan,30,Male,Adult,1,5934,847.7142857142857,7
244,Russell Gonzalez,19,Female,Young Adult,0,1007,503.5,2
245,Ryan Bishop,28,Female,Adult,0,4416,883.2,5
246,Brandy Wilkins,33,Female,Adult,0,2696,385.14285714285717,7
247,Daniel Gibson,70,Female,Senior,0,2370,790.0,3
248,Jerry Henderson,62,Male,Senior,0,1981,495.25,4
249,Elizabeth Craig,64,Female,Senior,0,8432,843.2,10
250,Laura Peters,21,Male,Young Adult,0,4081,680.1666666666666,6
251,Jason Jordan,62,Female,Senior,1,1045,348.3333333333333,3
252,Maria Kim,39,Female,Middle Age,0,4085,817.0,5
253,Zachary Freeman,26,Female,Adult,1,4301,614.4285714285714,7
254,Dr. Paige Reese,39,Male,Middle Age,1,1984,992.0,2
255,Jordan Juarez,23,Female,Young Adult,0,5927,592.7,10
256,Casey Brown,43,Female,Middle Age,1,2920,730.0,4
257,Frank Morgan,54,Male,Senior,0,8112,1014.0,8
258,William Baird,47,Male,Middle Age,1,575,287.5,2
259,Kimberly Howe,41,Male,Middle Age,1,1864,1864.0,1
260,Theresa Jones,55,Female,Senior,0,3488,498.2857142857143,7
261,Carl Lee,64,Female,Senior,1,4209,841.8,5
262,Gail Mcdonald,27,Male,Adult,0,4087,1021.75,4
263,Stephanie Hayes,46,Male,Middle Age,1,2372,474.4,5
264,Oscar Henson,66,Female,Senior,1,4237,1412.3333333333333,3
265,Carmen Parker,33,Female,Adult,0,6106,678.4444444444445,9
266,Gregory Dickerson,51,Male,Senior,0,5552,1388.0,4
267,Thomas Mueller,51,Female,Senior,0,1562,520.6666666666666,3
268,Wendy Davidson,40,Male,Middle Age,0,2764,921.3333333333334,3
269,Samantha Carrillo,64,Female,Senior,1,1708,854.0,2
270,Jeffrey Richardson,23,Female,Young Adult,0,2106,421.2,5
271,Kelli Cook,51,Male,Senior,0,1460,730.0,2
272,Leonard Bailey,41,Male,Middle Age,0,5567,618.5555555555555,9
273,Lisa Powers,36,Female,Middle Age,0,5846,649.5555555555555,9
274,Michelle Chen,57,Female,Senior,0,4122,824.4,5
275,Eric Bond,35,Male,Adult,1,5808,580.8,10
276,Daniel Jordan,43,Male,Middle Age,0,3723,531.8571428571429,7
277,Donald Le,38,Male,Middle Age,0,3358,839.5,4
278,Matthew Ramirez,67,Female,Senior,0,1268,1268.0,1
279,David Gordon,66,Male,Senior,1,3374,1124.6666666666667,3
280,Oscar Rocha,60,Male,Senior,1,692,692.0,1
281,Caitlin Murphy DDS,47,Male,Middle Age,0,1212,404.0,3
282,Michael Fitzgerald,50,Female,Middle Age,0,6010,751.25,8
283,Dennis Patrick,27,Female,Adult,0,2131,710.3333333333334,3
284,Bradley Freeman,50,Female,Middle Age,0,2793,698.25,4
285,Kevin Griffith,62,Male,Senior,1,5025,837.5,6
286,Jared Robles DVM,19,Male,Young Adult,0,2903,580.6,5
287,Douglas Walton,19,Female,Young Adult,0,1785,446.25,4
288,Shelby Perry,57,Female,Senior,0,2970,742.5,4
289,Michael Baker,31,Female,Adult,0,6630,947.1428571428571,7
290,Brittany Scott,28,Male,Adult,0,6293,699.2222222222222,9
291,Angela Jackson,25,Male,Young Adult,1,5139,1713.0,3
292,Olivia Torres,21,Male,Young Adult,0,2519,1259.5,2
293,Mark Burton,56,Male,Senior,0,1737,347.4,5
294,Ernest Harris,24,Male,Young Adult,0,5733,1146.6,5
295,Alexander Strickland,60,Male,Senior,1,4892,543.5555555555555,9
296,Shawn Osborne,21,Female,Young Adult,1,7589,1084.142857142857,7
297,Lori Golden,37,Female,Middle Age,0,1816,454.0,4
298,Travis Morris,41,Female,Middle Age,0,1490,496.6666666666667,3
299,Brandon Weeks,68,Female,Senior,0,5698,1424.5,4
300,Dr. Lindsay Wu DDS,55,Female,Senior,0,4270,711.6666666666666,6
301,Christopher Boyer,57,Female,Senior,0,6055,1513.75,4
302,Christopher Robinson,31,Male,Adult,0,6532,933.1428571428571,7
303,Paul Smith,37,Female,Middle Age,0,2446,611.5,4
304,Lisa Rivas,38,Female,Middle Age,0,521,260.5,2
305,Patrick Lawrence,69,Female,Senior,0,6738,1347.6,5
306,Melissa Lee,64,Male,Senior,0,1216,608.0,2
307,Sophia Thompson,64,Male,Senior,0,4624,924.8,5
308,Lynn Wilson,62,Male,Senior,0,4773,681.8571428571429,7
309,Jaime Dunn,18,Male,Young Adult,0,1342,671.0,2
310,Joseph Mcpherson,52,Male,Senior,0,1134,1134.0,1
311,Christopher Burton,38,Male,Middle Age,0,2848,1424.0,2
312,Jacob Jones,28,Male,Adult,0,3055,763.75,4
313,Matthew Orr,58,Female,Senior,0,3303,825.75,4
314,Lindsey Craig,36,Male,Middle Age,1,7369,921.125,8
315,Laura Knight,21,Female,Young Adult,0,2063,343.8333333333333,6
316,Mitchell Lopez,63,Male,Senior,0,2809,401.2857142857143,7
317,Madeline Howard,52,Male,Senior,0,8051,1006.375,8
318,Michael George,58,Female,Senior,0,5949,849.8571428571429,7
319,Sarah Keith,49,Male,Middle Age,1,10031,1003.1,10
320,Xavier Fuller,62,Female,Senior,0,1545,772.5,2
321,Stacy Schultz,20,Female,Young Adult,1,5834,1166.8,5
322,David Gregory,30,Male,Adult,0,5349,764.1428571428571,7
323,Jeremy Taylor,70,Female,Senior,1,3465,866.25,4
324,Crystal Russo,26,Male,Adult,0,5174,739.1428571428571,7
325,Jacob Baker,38,Female,Middle Age,1,3509,701.8,5
326,Jessica Taylor,65,Male,Senior,0,2614,522.8,5
327,Brittany Joyce,27,Male,Adult,0,3063,612.6,5
328,David Marsh,19,Male,Young Adult,0,5235,1047.0,5
329,Stephen Burns,19,Male,Young Adult,0,1778,355.6,5
330,Joseph James,66,Female,Senior,0,1935,645.0,3
331,Michael Strickland,65,Male,Senior,0,1692,338.4,5
332,Leah Curtis,52,Male,Senior,1,4009,1002.25,4
333,Kristina Irwin,55,Female,Senior,0,890,445.0,2
334,Chad Winters,57,Male,Senior,0,2644,528.8,5
335,Amanda Khan,59,Male,Senior,0,197,98.5,2
336,Joshua Walter,27,Female,Adult,0,358,358.0,1
337,Makayla Ramirez,38,Female,Middle Age,0,1981,660.3333333333334,3
338,Michael Thomas,69,Female,Senior,0,3551,1183.6666666666667,3
339,Michelle Maldonado,27,Female,Adult,0,3087,1029.0,3
340,Carol Velazquez,36,Male,Middle Age,0,2143,306.14285714285717,7
341,Jean Brown,54,Female,Senior,0,4410,551.25,8
342,Donald Ramsey,45,Female,Middle Age,0,2498,832.6666666666666,3
343,Paul Johnson,45,Female,Middle Age,0,318,159.0,2
344,Dana Martinez,69,Male,Senior,0,1856,1856.0,1
345,Ryan Rice,24,Male,Young Adult,0,5840,1168.0,5
346,Holly Padilla,49,Male,Middle Age,0,7504,1072.0,7
347,Dr. Susan Sawyer,18,Female,Young Adult,0,5032,629.0,8
348,Heidi Sutton,32,Male,Adult,0,3165,1055.0,3
349,Charles Rice,56,Male,Senior,1,3880,970.0,4
350,Leah Garcia,28,Female,Adult,0,8576,1072.0,8
351,William Wood,53,Female,Senior,0,3860,772.0,5
352,Patrick Williams,70,Female,Senior,1,10712,1339.0,8
353,David Tanner,47,Female,Middle Age,0,2628,657.0,4
354,Cindy Hudson,33,Female,Adult,0,930,930.0,1
355,Ann Luna,40,Male,Middle Age,0,1206,301.5,4
356,Kenneth Shelton,24,Female,Young Adult,0,5219,652.375,8
357,Ryan Hill,60,Male,Senior,0,1515,505.0,3
358,George Berg,59,Female,Senior,0,4502,1125.5,4
359,Diana Mcintyre,70,Male,Senior,0,980,490.0,2
360,Rebecca Stout,34,Female,Adult,0,3266,1088.6666666666667,3
361,Donna Cobb,24,Female,Young Adult,0,1744,1744.0,1
362,David Ellis,49,Female,Middle Age,0,5604,934.0,6
363,Tabitha Shea,69,Female,Senior,0,4118,514.75,8
364,Veronica Carter,51,Male,Senior,0,2275,568.75,4
365,Mary Walters,63,Male,Senior,0,2082,1041.0,2
366,Bruce Pittman,67,Male,Senior,0,4609,768.1666666666666,6
367,Tammy Case,45,Female,Middle Age,0,2310,462.0,5
368,Justin Eaton,26,Male,Adult,0,8605,1075.625,8
369,Christopher Greer,59,Male,Senior,0,6163,770.375,8
370,John Smith DDS,32,Male,Adult,1,7701,855.6666666666666,9
371,Robert Kelley,41,Male,Middle Age,0,401,200.5,2
372,Willie Williams,55,Female,Senior,0,7166,1023.7142857142857,7
373,Matthew Phillips,21,Female,Young Adult,0,4366,1091.5,4
374,Sandra Paul,65,Male,Senior,0,7974,1139.142857142857,7
375,Jason Shelton,47,Female,Middle Age,1,3774,539.1428571428571,7
376,Trevor Wiley,64,Male,Senior,1,6129,766.125,8
377,James Mosley,26,Male,Adult,1,472,472.0,1
378,Andrew Robertson,50,Female,Middle Age,1,7399,1233.1666666666667,6
379,Victoria Hill,60,Female,Senior,0,9009,693.0,13
380,Lance Brandt,60,Male,Senior,1,3371,842.75,4
381,Catherine Parker,40,Male,Middle Age,0,5671,810.1428571428571,7
382,Monique Henson,48,Female,Middle Age,0,1248,624.0,2
383,Pamela Bowen,21,Male,Young Adult,0,4837,967.4,5
384,Jesse Davis,39,Male,Middle Age,0,4294,715.6666666666666,6
385,Justin Ramirez,30,Male,Adult,0,9203,707.9230769230769,13
386,Kyle Gilbert,37,Female,Middle Age,1,2261,565.25,4
387,Elizabeth Thompson,36,Female,Middle Age,1,5423,493.0,11
388,Jacob Williams,31,Female,Adult,0,5561,926.8333333333334,6
389,Andrew Ryan,62,Female,Senior,1,4504,643.4285714285714,7
390,Breanna Adams,23,Male,Young Adult,0,4194,838.8,5
391,Karen White,41,Male,Middle Age,0,432,216.0,2
392,Rachel Wilson,53,Male,Senior,0,2982,994.0,3
393,Michael Smith,59,Male,Senior,1,4397,1465.6666666666667,3
394,Anthony Butler,28,Female,Adult,0,3594,718.8,5
395,Stacy Price,49,Male,Middle Age,0,8295,829.5,10
396,Kimberly Stewart,55,Male,Senior,1,4145,690.8333333333334,6
397,Michael Williams,18,Male,Young Adult,1,1945,648.3333333333334,3
398,Charles Gonzalez,22,Male,Young Adult,0,3887,647.8333333333334,6
399,Lori Gonzales,38,Male,Middle Age,0,4586,655.1428571428571,7
400,Edward Collins MD,30,Female,Adult,0,7991,665.9166666666666,12
401,Christine Lawson,32,Female,Adult,0,1040,346.6666666666667,3
402,David Gibson,50,Female,Middle Age,0,2286,381.0,6
403,Miguel Walker,24,Female,Young Adult,0,5021,836.8333333333334,6
404,Jeff Morgan,19,Male,Young Adult,0,2269,453.8,5
405,Robert Owen,60,Female,Senior,0,4449,741.5,6
406,Caitlin Martinez,70,Female,Senior,0,6032,1005.3333333333334,6
407,Michael Leonard,64,Male,Senior,0,3930,561.4285714285714,7
408,Bridget Carrillo,28,Male,Adult,0,3656,914.0,4
409,Brittany Villanueva,47,Female,Middle Age,0,4572,762.0,6
410,Alexander Smith,18,Female,Young Adult,0,4049,1012.25,4
411,Robert Walker,64,Male,Senior,0,2474,618.5,4
412,Steven Adams,41,Male,Middle Age,0,4297,859.4,5
413,Linda Williams,58,Female,Senior,0,5930,988.3333333333334,6
414,Andrew Mcguire,23,Female,Young Adult,0,8442,1407.0,6
415,Dennis Bender,56,Female,Senior,0,7571,1081.5714285714287,7
416,Angela Bryant,30,Female,Adult,0,2401,343.0,7
417,Jordan Phillips,22,Male,Young Adult,0,3371,561.8333333333334,6
418,Tanya Scott,49,Male,Middle Age,0,3263,815.75,4
419,Stephen Moore,41,Female,Middle Age,0,4346,543.25,8
420,Jonathan Alvarez,66,Male,Senior,0,8404,1680.8,5
421,Christina Williams,69,Male,Senior,0,4094,1023.5,4
422,Maria Jones,28,Male,Adult,0,2488,497.6,5
423,Christopher Sanchez,36,Female,Middle Age,1,1120,560.0,2
426,Mary Ross,63,Female,Senior,1,4500,900.0,5
427,James Vargas,58,Female,Senior,0,7647,849.6666666666666,9
